X,Y,Diameter (m),Area,Perimeter,Circularity,AspectRatio,ShapeType
941,603,36.4,410.5,94.67,0.58,1.24,Irregular
1028,587,6.08,13.5,15.07,0.75,1.75,Elongated
190,588,6.8,24.5,19.9,0.78,1.0,Irregular
458,591,22.56,125.0,53.8,0.54,0.43,Elongated
81,582,8.06,28.5,21.07,0.81,0.75,Irregular
320,588,88.32,902.5,213.44,0.25,1.64,Elongated
1130,554,9.9,29.5,23.56,0.67,1.12,Irregular
426,567,41.64,754.0,125.88,0.6,1.05,Irregular
36,606,135.37,4305.5,608.94,0.15,0.78,Irregular
1884,614,207.93,5934.5,701.65,0.15,1.04,Irregular
1886,612,26.83,233.0,65.94,0.67,0.68,Elongated
636,536,4.47,10.5,12.24,0.88,1.25,Irregular
1181,539,19.11,98.0,45.31,0.6,0.35,Elongated
712,532,6.08,15.0,15.66,0.77,0.57,Elongated
86,566,112.7,1306.5,269.32,0.23,1.1,Irregular
1120,563,113.7,2509.0,281.56,0.4,1.16,Irregular
465,548,52.2,625.5,140.12,0.4,0.77,Irregular
1947,528,8.54,27.0,21.66,0.72,0.56,Elongated
733,524,6.32,19.5,17.07,0.84,0.71,Irregular
1171,524,11.66,59.5,30.73,0.79,0.82,Irregular
1510,514,11.4,54.0,30.14,0.75,1.5,Irregular
1023,513,5.39,17.0,15.66,0.87,0.83,Irregular
2024,515,15.23,94.5,39.56,0.76,0.67,Elongated
1649,520,25.63,220.0,66.77,0.62,0.72,Irregular
949,521,28.16,153.0,67.46,0.42,0.39,Elongated
971,554,111.01,3631.5,442.03,0.23,0.71,Irregular
983,584,23.02,195.5,58.53,0.72,0.9,Irregular
975,563,20.62,202.5,55.7,0.82,0.8,Irregular
987,520,8.06,24.5,19.9,0.78,0.56,Elongated
1515,505,7.62,29.5,21.9,0.77,0.88,Irregular
18,526,60.61,994.5,161.3,0.48,0.8,Irregular
1501,505,15.0,85.0,42.97,0.58,0.93,Irregular
1066,507,14.56,50.5,33.9,0.55,0.4,Elongated
840,503,7.21,23.5,19.07,0.81,0.86,Irregular
1097,504,32.8,224.0,82.43,0.41,1.17,Irregular
972,494,10.3,58.0,29.31,0.85,1.11,Irregular
942,492,15.73,107.5,45.21,0.66,1.33,Irregular
565,490,9.22,36.5,23.9,0.8,1.0,Irregular
1353,488,6.71,21.0,18.49,0.77,0.86,Irregular
1664,491,20.81,162.0,53.46,0.71,1.12,Irregular
1480,488,9.49,37.0,24.49,0.78,0.6,Elongated
1076,484,5.83,12.5,14.24,0.77,0.67,Elongated
627,485,9.49,37.5,24.73,0.77,1.43,Irregular
27,472,6.08,13.5,15.07,0.75,1.75,Elongated
1921,473,12.65,80.5,34.73,0.84,0.69,Elongated
924,464,11.18,55.5,29.56,0.8,0.82,Irregular
1608,480,64.66,1210.0,178.51,0.48,1.2,Irregular
937,460,9.43,19.5,21.9,0.51,0.67,Elongated
1710,467,29.41,308.0,80.43,0.6,0.96,Irregular
1891,474,50.45,526.5,118.67,0.47,0.42,Elongated
1517,452,6.41,20.0,17.66,0.81,0.71,Irregular
1239,456,17.02,135.0,46.97,0.77,0.81,Irregular
1528,451,6.47,21.0,18.49,0.77,0.86,Irregular
1647,447,5.83,19.0,16.49,0.88,1.0,Round
1669,455,25.18,298.0,73.6,0.69,0.84,Irregular
1998,478,86.28,2762.5,289.87,0.41,0.72,Irregular
1612,442,6.82,22.5,19.07,0.78,1.17,Irregular
1015,457,46.53,660.5,174.27,0.27,1.08,Irregular
1813,440,15.26,83.0,39.8,0.66,0.86,Irregular
10,451,44.29,246.5,103.5,0.29,0.55,Elongated
647,426,7.21,22.5,19.07,0.78,0.86,Irregular
200,459,82.73,546.5,183.98,0.2,0.25,Elongated
1709,416,17.47,183.0,52.63,0.83,1.06,Irregular
1838,477,141.73,3000.0,441.45,0.19,0.56,Elongated
1638,410,11.7,64.0,32.14,0.78,0.75,Irregular
1936,406,5.1,11.5,13.07,0.85,0.67,Elongated
1041,430,82.23,1291.5,386.23,0.11,1.3,Irregular
991,405,6.71,16.5,17.07,0.71,0.71,Irregular
1587,411,37.54,535.5,99.5,0.68,1.03,Irregular
1615,401,14.14,96.0,38.97,0.79,0.67,Elongated
1644,396,7.69,31.0,21.66,0.83,0.75,Irregular
1069,403,23.41,74.0,58.28,0.27,0.48,Elongated
2027,395,11.25,74.5,33.56,0.83,1.0,Irregular
1542,396,16.12,130.5,46.38,0.76,0.93,Irregular
1808,397,20.1,136.5,48.87,0.72,0.52,Elongated
626,405,45.0,444.5,135.3,0.31,0.82,Irregular
157,392,25.81,176.0,62.77,0.56,0.86,Irregular
722,383,6.75,25.0,19.31,0.84,1.0,Irregular
432,437,140.09,1437.0,322.68,0.17,0.7,Elongated
1773,391,24.08,131.5,66.18,0.38,0.52,Elongated
1588,382,7.62,22.0,19.66,0.72,0.62,Elongated
966,382,6.08,13.5,15.07,0.75,0.57,Elongated
733,380,8.23,35.0,23.31,0.81,1.0,Irregular
1886,407,65.0,806.5,163.64,0.38,0.52,Elongated
1808,380,8.94,31.0,23.31,0.72,0.78,Irregular
954,379,6.71,20.0,17.66,0.81,0.71,Irregular
162,379,12.65,26.5,28.73,0.4,2.17,Elongated
1677,408,73.39,631.5,216.07,0.17,0.44,Elongated
1704,376,7.14,26.0,19.31,0.88,1.33,Irregular
1717,371,9.46,51.5,26.73,0.91,1.0,Round
1553,377,22.14,156.0,54.63,0.66,0.55,Elongated
1527,374,14.43,76.5,37.56,0.68,0.6,Elongated
695,370,6.71,15.5,16.24,0.74,0.57,Elongated
1890,369,12.74,63.5,35.56,0.63,1.2,Irregular
381,371,18.03,110.0,45.8,0.66,0.61,Elongated
1754,364,10.85,59.5,30.73,0.79,0.82,Irregular
2027,360,6.4,12.5,15.07,0.69,0.83,Irregular
717,357,6.9,23.5,19.9,0.75,1.0,Irregular
1557,355,9.22,33.5,23.9,0.74,0.6,Elongated
696,385,93.38,1200.0,275.76,0.2,1.07,Irregular
809,352,4.12,10.0,11.66,0.92,0.8,Irregular
1526,352,10.44,42.0,27.31,0.71,0.64,Elongated
676,350,10.84,35.5,26.38,0.64,1.11,Irregular
2038,368,44.55,337.0,100.97,0.42,0.22,Elongated
1579,352,23.02,193.0,66.28,0.55,0.82,Irregular
1461,364,54.64,723.0,162.51,0.34,0.8,Irregular
654,344,14.43,76.0,38.14,0.66,0.71,Irregular
789,341,9.85,49.5,27.56,0.82,0.9,Irregular
639,353,34.71,191.0,87.94,0.31,0.34,Elongated
1845,339,11.7,59.5,30.73,0.79,0.67,Elongated
717,338,28.46,208.5,73.36,0.49,1.87,Elongated
565,336,5.0,12.0,13.66,0.81,1.0,Irregular
1881,341,24.7,162.0,57.46,0.62,0.5,Elongated
998,334,8.06,20.5,19.07,0.71,0.44,Elongated
1658,329,19.24,148.0,50.63,0.73,0.6,Elongated
1524,332,28.64,177.5,67.36,0.49,0.59,Elongated
425,318,6.08,14.5,15.07,0.8,0.57,Elongated
649,319,14.32,38.5,32.73,0.45,0.4,Elongated
1853,327,36.14,320.0,91.25,0.48,0.56,Elongated
1581,317,18.11,193.0,52.77,0.87,0.89,Irregular
1933,314,19.42,76.0,46.63,0.44,0.76,Irregular
1823,308,19.42,160.0,51.8,0.75,0.6,Elongated
1449,306,20.88,159.5,57.7,0.6,1.62,Elongated
2027,288,6.32,12.0,15.66,0.62,0.57,Elongated
641,289,9.43,38.5,24.73,0.79,0.89,Irregular
1551,288,8.94,37.0,24.14,0.8,0.89,Irregular
1573,293,22.28,202.0,69.94,0.52,0.82,Irregular
1793,285,11.75,80.5,34.73,0.84,1.2,Irregular
928,284,11.74,48.5,30.73,0.65,1.5,Irregular
916,281,10.3,10.0,24.14,0.22,1.43,Irregular
868,281,6.9,30.0,20.49,0.9,1.0,Round
978,275,12.37,67.0,32.97,0.77,1.44,Irregular
885,279,24.43,238.5,71.84,0.58,0.83,Irregular
850,272,12.69,89.0,36.97,0.82,1.0,Irregular
811,267,10.82,33.0,25.31,0.65,1.43,Irregular
1363,266,8.25,25.0,20.49,0.75,0.56,Elongated
1467,300,79.23,928.5,223.58,0.23,0.44,Elongated
894,265,10.3,49.0,28.14,0.78,1.11,Irregular
1484,261,11.4,56.0,30.97,0.73,0.67,Elongated
1006,256,6.08,13.5,15.07,0.75,0.57,Elongated
849,256,6.32,16.5,16.24,0.79,0.57,Elongated
884,253,8.06,28.0,21.31,0.77,0.88,Irregular
989,242,20.81,123.5,61.7,0.41,1.27,Irregular
1760,250,34.54,173.5,77.36,0.36,0.45,Elongated
1538,281,104.39,1394.5,275.18,0.23,0.45,Elongated
1248,232,8.5,39.0,24.49,0.82,1.29,Irregular
1383,230,14.42,68.5,37.21,0.62,0.92,Irregular
894,231,23.35,134.5,68.18,0.36,1.0,Irregular
1450,226,19.42,168.0,51.8,0.79,0.78,Irregular
1318,236,39.82,618.0,142.71,0.38,0.85,Irregular
1366,221,11.66,64.0,32.97,0.74,1.0,Irregular
1425,235,61.56,495.5,150.27,0.28,1.07,Irregular
958,263,98.91,1810.0,417.45,0.13,0.76,Irregular
1026,216,9.46,40.0,25.31,0.78,0.89,Irregular
1645,213,7.21,17.5,17.07,0.75,0.71,Irregular
1201,213,8.94,26.0,22.49,0.65,0.67,Elongated
1088,211,5.2,12.0,13.66,0.81,0.67,Elongated
859,212,9.22,31.0,23.31,0.72,0.6,Elongated
995,208,4.47,10.5,12.24,0.88,0.8,Irregular
